"rules" "support" "confidence" "coverage" "lift" "count"
"423" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Team=Zimbabwe} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"430" "{Wicket_Category=Five_Plus,Decade=-0s,Team=Zimbabwe} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"433" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Team=Zimbabwe} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"436" "{Tournament_Stage=League,Decade=-0s,Team=Zimbabwe} => {Economy_Category=Very_Economic}" 0.02 1 0.02 2.12765957446809 2
"474" "{Wicket_Category=Four_Wickets,Decade=-0s,Team=Bangladesh} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"477" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Team=Bangladesh} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"564" "{Wicket_Category=Four_Wickets,Decade=-0s,Team=England} => {Economy_Category=Very_Economic}" 0.05 1 0.05 2.12765957446809 5
"567" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Team=England} => {Economy_Category=Very_Economic}" 0.05 1 0.05 2.12765957446809 5
"622" "{Wicket_Category=Four_Wickets,Decade=-0s,Team=Pakistan} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"624" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Team=Pakistan} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"651" "{Wicket_Category=Four_Wickets,Decade=-0s,Team=South Africa} => {Economy_Category=Very_Economic}" 0.05 1 0.05 2.12765957446809 5
"654" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Team=South Africa} => {Economy_Category=Very_Economic}" 0.05 1 0.05 2.12765957446809 5
"679" "{Wicket_Category=Four_Wickets,Decade=-0s,Team=India} => {Economy_Category=Very_Economic}" 0.04 1 0.04 2.12765957446809 4
"682" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Team=India} => {Economy_Category=Very_Economic}" 0.04 1 0.04 2.12765957446809 4
"748" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Decade=-0s,Team=U.A.E.} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"760" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Decade=-0s,Team=Kenya} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"763" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Decade=-0s,Team=Zimbabwe} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"768" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Decade=-0s,Team=Zimbabwe} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"786" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Decade=-0s,Team=Bangladesh} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"826" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Decade=-0s,Team=England} => {Economy_Category=Very_Economic}" 0.05 1 0.05 2.12765957446809 5
"851" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Decade=-0s,Team=Pakistan} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"864" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Decade=-0s,Team=South Africa} => {Economy_Category=Very_Economic}" 0.05 1 0.05 2.12765957446809 5
"876" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Decade=-0s,Team=India} => {Economy_Category=Very_Economic}" 0.04 1 0.04 2.12765957446809 4
"210" "{Wicket_Category=Five_Plus,Team=West Indies} => {Economy_Category=Economic}" 0.04 0.666666666666667 0.06 2.02020202020202 4
"545" "{Wicket_Category=Five_Plus,Decade=-0s,Team=West Indies} => {Economy_Category=Economic}" 0.04 0.666666666666667 0.06 2.02020202020202 4
"548" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Team=West Indies} => {Economy_Category=Economic}" 0.04 0.666666666666667 0.06 2.02020202020202 4
"820" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Decade=-0s,Team=West Indies} => {Economy_Category=Economic}" 0.04 0.666666666666667 0.06 2.02020202020202 4
"33" "{Team=West Indies} => {Economy_Category=Economic}" 0.05 0.625 0.08 1.89393939393939 5
"212" "{Decade=-0s,Team=West Indies} => {Economy_Category=Economic}" 0.05 0.625 0.08 1.89393939393939 5
"214" "{Tournament_Stage=League,Team=West Indies} => {Economy_Category=Economic}" 0.05 0.625 0.08 1.89393939393939 5
"551" "{Tournament_Stage=League,Decade=-0s,Team=West Indies} => {Economy_Category=Economic}" 0.05 0.625 0.08 1.89393939393939 5
"63" "{Economy_Category=Very_Economic} => {Wicket_Category=Four_Wickets}" 0.25 0.531914893617021 0.47 1.83418928833456 25
"352" "{Economy_Category=Very_Economic,Decade=-0s} => {Wicket_Category=Four_Wickets}" 0.25 0.531914893617021 0.47 1.83418928833456 25
"355" "{Economy_Category=Very_Economic,Tournament_Stage=League} => {Wicket_Category=Four_Wickets}" 0.25 0.531914893617021 0.47 1.83418928833456 25
"739" "{Economy_Category=Very_Economic,Tournament_Stage=League,Decade=-0s} => {Wicket_Category=Four_Wickets}" 0.25 0.531914893617021 0.47 1.83418928833456 25
"62" "{Wicket_Category=Four_Wickets} => {Economy_Category=Very_Economic}" 0.25 0.862068965517241 0.29 1.83418928833456 25
"351" "{Wicket_Category=Four_Wickets,Decade=-0s} => {Economy_Category=Very_Economic}" 0.25 0.862068965517241 0.29 1.83418928833456 25
"354" "{Wicket_Category=Four_Wickets,Tournament_Stage=League} => {Economy_Category=Very_Economic}" 0.25 0.862068965517241 0.29 1.83418928833456 25
"738" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Decade=-0s} => {Economy_Category=Very_Economic}" 0.25 0.862068965517241 0.29 1.83418928833456 25
"17" "{Team=Zimbabwe} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"126" "{Economy_Category=Very_Economic,Team=Zimbabwe} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"128" "{Decade=-0s,Team=Zimbabwe} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"130" "{Tournament_Stage=League,Team=Zimbabwe} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"165" "{Economy_Category=Very_Economic,Team=Bangladesh} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"182" "{Economy_Category=Economic,Team=Sri Lanka} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"184" "{Economy_Category=Very_Economic,Team=Sri Lanka} => {Wicket_Category=Four_Wickets}" 0.02 0.5 0.04 1.72413793103448 2
"421" "{Economy_Category=Very_Economic,Decade=-0s,Team=Zimbabwe} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"424" "{Economy_Category=Very_Economic,Tournament_Stage=League,Team=Zimbabwe} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"427" "{Tournament_Stage=League,Decade=-0s,Team=Zimbabwe} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"475" "{Economy_Category=Very_Economic,Decade=-0s,Team=Bangladesh} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"478" "{Economy_Category=Very_Economic,Tournament_Stage=League,Team=Bangladesh} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"498" "{Economy_Category=Economic,Decade=-0s,Team=Sri Lanka} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"500" "{Economy_Category=Economic,Tournament_Stage=League,Team=Sri Lanka} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"503" "{Economy_Category=Very_Economic,Decade=-0s,Team=Sri Lanka} => {Wicket_Category=Four_Wickets}" 0.02 0.5 0.04 1.72413793103448 2
"506" "{Economy_Category=Very_Economic,Tournament_Stage=League,Team=Sri Lanka} => {Wicket_Category=Four_Wickets}" 0.02 0.5 0.04 1.72413793103448 2
"764" "{Economy_Category=Very_Economic,Tournament_Stage=League,Decade=-0s,Team=Zimbabwe} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"787" "{Economy_Category=Very_Economic,Tournament_Stage=League,Decade=-0s,Team=Bangladesh} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"796" "{Economy_Category=Economic,Tournament_Stage=League,Decade=-0s,Team=Sri Lanka} => {Wicket_Category=Four_Wickets}" 0.01 0.5 0.02 1.72413793103448 1
"800" "{Economy_Category=Very_Economic,Tournament_Stage=League,Decade=-0s,Team=Sri Lanka} => {Wicket_Category=Four_Wickets}" 0.02 0.5 0.04 1.72413793103448 2
"331" "{Wicket_Category=Four_Wickets,Team=Australia} => {Economy_Category=Very_Economic}" 0.03 0.75 0.04 1.59574468085106 3
"713" "{Wicket_Category=Four_Wickets,Decade=-0s,Team=Australia} => {Economy_Category=Very_Economic}" 0.03 0.75 0.04 1.59574468085106 3
"715" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Team=Australia} => {Economy_Category=Very_Economic}" 0.03 0.75 0.04 1.59574468085106 3
"891" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Decade=-0s,Team=Australia} => {Economy_Category=Very_Economic}" 0.03 0.75 0.04 1.59574468085106 3
"204" "{Wicket_Category=Four_Wickets,Team=West Indies} => {Economy_Category=Economic}" 0.01 0.5 0.02 1.51515151515152 1
"271" "{Wicket_Category=Five_Plus,Team=Pakistan} => {Economy_Category=Economic}" 0.05 0.5 0.1 1.51515151515152 5
"311" "{Wicket_Category=Five_Plus,Team=India} => {Economy_Category=Economic}" 0.05 0.5 0.1 1.51515151515152 5
"532" "{Wicket_Category=Four_Wickets,Decade=-0s,Team=West Indies} => {Economy_Category=Economic}" 0.01 0.5 0.02 1.51515151515152 1
"534" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Team=West Indies} => {Economy_Category=Economic}" 0.01 0.5 0.02 1.51515151515152 1
"629" "{Wicket_Category=Five_Plus,Decade=-0s,Team=Pakistan} => {Economy_Category=Economic}" 0.05 0.5 0.1 1.51515151515152 5
"632" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Team=Pakistan} => {Economy_Category=Economic}" 0.05 0.5 0.1 1.51515151515152 5
"688" "{Wicket_Category=Five_Plus,Decade=-0s,Team=India} => {Economy_Category=Economic}" 0.05 0.5 0.1 1.51515151515152 5
"691" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Team=India} => {Economy_Category=Economic}" 0.05 0.5 0.1 1.51515151515152 5
"812" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Decade=-0s,Team=West Indies} => {Economy_Category=Economic}" 0.01 0.5 0.02 1.51515151515152 1
"855" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Decade=-0s,Team=Pakistan} => {Economy_Category=Economic}" 0.05 0.5 0.1 1.51515151515152 5
"881" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Decade=-0s,Team=India} => {Economy_Category=Economic}" 0.05 0.5 0.1 1.51515151515152 5
"183" "{Wicket_Category=Four_Wickets,Team=Sri Lanka} => {Economy_Category=Very_Economic}" 0.02 0.666666666666667 0.03 1.41843971631206 2
"246" "{Wicket_Category=Four_Wickets,Team=New Zealand} => {Economy_Category=Very_Economic}" 0.02 0.666666666666667 0.03 1.41843971631206 2
"502" "{Wicket_Category=Four_Wickets,Decade=-0s,Team=Sri Lanka} => {Economy_Category=Very_Economic}" 0.02 0.666666666666667 0.03 1.41843971631206 2
"505" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Team=Sri Lanka} => {Economy_Category=Very_Economic}" 0.02 0.666666666666667 0.03 1.41843971631206 2
"592" "{Wicket_Category=Four_Wickets,Decade=-0s,Team=New Zealand} => {Economy_Category=Very_Economic}" 0.02 0.666666666666667 0.03 1.41843971631206 2
"594" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Team=New Zealand} => {Economy_Category=Very_Economic}" 0.02 0.666666666666667 0.03 1.41843971631206 2
"799" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Decade=-0s,Team=Sri Lanka} => {Economy_Category=Very_Economic}" 0.02 0.666666666666667 0.03 1.41843971631206 2
"838" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Decade=-0s,Team=New Zealand} => {Economy_Category=Very_Economic}" 0.02 0.666666666666667 0.03 1.41843971631206 2
"2" "{Team=U.A.E.} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"6" "{Team=Namibia} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"10" "{Team=Canada} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"14" "{Team=Kenya} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"22" "{Economy_Category=Expensive} => {Wicket_Category=Five_Plus}" 0.04 1 0.04 1.40845070422535 4
"55" "{Economy_Category=Moderate} => {Wicket_Category=Five_Plus}" 0.16 1 0.16 1.40845070422535 16
"77" "{Economy_Category=Very_Economic,Team=U.A.E.} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"84" "{Decade=-0s,Team=U.A.E.} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"86" "{Tournament_Stage=League,Team=U.A.E.} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"89" "{Economy_Category=Economic,Team=Namibia} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"96" "{Decade=-0s,Team=Namibia} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
